# DWM1000 Antenna Delay Calibration — Initiator
# Known distance: 1.0000 m
# Antenna delay register: 0
# Antenna delay (ns): 0.000
# Target samples: 500
# Start temp (C): 25.10
# Start pressure (hPa): 1005.4
# Range interval: 50 ms
#
sample,millis,distance_m,round_trip_ticks,reply_delay_ticks,tof_ticks,rx_power_dBm,fp_power_dBm,quality,temp_C,pressure_hPa
1,9587,156.1838,366359225,366292626,33299,-60.60,-80.37,163.68,25.13,1005.4
2,9655,156.9061,363953420,363886513,33453,-59.56,-80.87,157.82,25.13,1005.4
3,9724,156.4511,363629890,363563177,33356,-59.95,-80.97,161.40,25.13,1005.4
4,9793,156.4324,363726251,363659547,33352,-59.97,-80.86,169.67,25.13,1005.4
5,9862,156.2964,359815155,359748508,33323,-61.23,-89.80,100.10,25.13,1005.4
6,9931,156.1932,359979584,359912982,33301,-62.95,-90.00,111.91,25.13,1005.4
7,10000,156.2823,359634118,359567478,33320,-60.63,-89.98,113.55,25.13,1005.4
8,10068,156.4230,367266480,367199779,33350,-60.70,-86.41,156.74,25.13,1005.4
9,10137,156.4089,369712880,369646185,33347,-61.30,-90.78,145.39,25.13,1005.4
10,10206,156.3995,368856312,368789621,33345,-80.04,-93.26,99.38,25.13,1005.4
11,10275,156.4511,359749470,359682757,33356,-61.30,-93.87,84.01,25.13,1005.4
12,10344,156.4277,364385711,364319009,33351,-62.33,-90.07,117.55,25.13,1005.4
13,10413,156.5872,357511210,357444439,33385,-60.70,-93.58,127.78,25.13,1005.4
14,10482,156.4183,358220392,358153694,33349,-60.76,-91.08,97.74,25.13,1005.4
15,10551,156.4605,363015379,362948663,33358,-59.39,-89.45,142.94,25.13,1005.4
16,10620,156.4511,359886097,359819384,33356,-61.12,-89.56,162.37,25.13,1005.4
17,10688,156.4887,356558055,356491327,33364,-61.66,-88.94,140.22,25.13,1005.4
18,10757,156.5778,372185415,372118649,33383,-61.96,-88.74,206.43,25.13,1005.4
19,10826,156.6247,355065701,354998914,33393,-61.73,-89.22,139.43,25.13,1005.4
20,10895,156.4605,372011901,371945184,33358,-61.57,-91.41,122.36,25.13,1005.4
21,10964,156.6012,374515116,374448339,33388,-62.37,-91.94,81.35,25.13,1005.4
